处警单编号	,报警原因	,处警结果	,事件编号	,用户编号	,单位负责人	,用户级别	,负责人手机	,口令	,用户名称	,用户地址	,事件类型	,事件描述	,报警时间	,报警位置	,接警时间	,接警员	,出警时间	,出警方式	,出警单位	,处警队负责人	,备注
2018062017585391536625336061	,212公司出警误报	,处警单212	,2018062018064700080000010C54	,8000000B2	,解语花	,买断	,13600000005	,123456	,S-新华区-619新建1	,S20180619测试新增用户	,警报	,人工报警	,2018-06-20 18:06:47	,三楼大厅	,2018-06-20 18:07:02	,shlsj6	,	,保安队	,	,	,有处警单和核警单	
2018062017532639645081110462	,212公司出警误报	,处警单的处警结果	,2018062018012500080000010C75	,8000000B2	,解语花	,买断	,13600000005	,123456	,S-新华区-619新建1	,S20180619测试新增用户	,警报	,人工报警	,2018-06-20 18:01:25	,三楼大厅	,2018-06-20 18:01:35	,shlsj6	,	,保安队	,	,有处警单和维修单	,有处警单和维修单	
2018062017460425475008349437	,212公司出警误报	,处警单的处警结果	,2018062016183100080000010E39	,8000000B2	,解语花	,买断	,13600000005	,123456	,S-新华区-619新建1	,S20180619测试新增用户	,警报	,人工报警	,2018-06-20 16:18:31	,2楼大厅	,2018-06-20 17:54:13	,shlsj6	,	,保安队	,	,	,有处警单后，添加核警单，查看处警结果	
2018062017411569637862238268	,212公司出警误报	,处警单的处警结果	,2018062012091800080000010C54	,8000000B2	,解语花	,买断	,13600000005	,123456	,S-新华区-619新建1	,S20180619测试新增用户	,警报	,人工报警	,2018-06-20 12:09:18	,三楼大厅	,2018-06-20 17:49:24	,shlsj6	,	,联合处警	,处警单的处警结果	,处警单的处警结果	,有处警单后，添加核警单，查看处警结果	
2018062011360163632723925007	,214指挥中心真警	,相关信息，单处警单 出单	,2018062009424800080000010C59	,8000000B2	,解语花	,买断	,13600000005	,123456	,S-新华区-619新建1	,S20180619测试新增用户	,警报	,人工报警	,2018-06-20 09:42:48	,三楼大厅	,2018-06-20 11:44:10	,shlsj6	,2609-03-13 04:18:21	,保安队	,相关信息，单处警单 出单	,相关信息，单处警单 出单	,相关信息，单条 出单 214	
2018062011351398962768848947	,121技术试机	,相关信息，单条保存	,2018062011405400080000010C49	,8000000B2	,解语花	,买断	,13600000005	,123456	,S-新华区-619新建1	,S20180619测试新增用户	,警报	,人工报警	,2018-06-20 11:40:54	,三楼大厅	,2018-06-20 11:43:22	,shlsj6	,	,派出所	,相关信息，单条保存	,相关信息，单条保存	,相关信息，单条保存	
2018062011333585550818679134	,121技术试机	,相关信息，单条预处理2	,2018062011405000080000010C74	,8000000B2	,解语花	,买断	,13600000005	,123456	,S-新华区-619新建1	,S20180619测试新增用户	,警报	,人工报警	,2018-06-20 11:40:50	,三楼大厅	,2018-06-20 11:41:44	,shlsj6	,	,联合处警	,相关信息，单条预处理	,相关信息，单条预处理	,相关信息，单条预处理2 121	
2018062009585872442713499802	,431设备原因故障	,预处理中批量处警，批量勾选2条，当前为2018-06-19 15:54:36	,2018061915543600080000011C64	,8000000CF	,邓清逸	,其他	,13307731001	,20180619	,D_龙岗区机主_0619_01全	,深圳市龙岗区101大道11号，地址长点，看看显示。一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九	,警报	,人工报警	,2018-06-19 15:54:36	,1	,2018-06-20 10:06:15	,shlsj6	,	,保安队	,1	,4	,5	
2018062009432071227839776206	,511用户未布防	,反馈状态	,2018062009303400080000010E33	,8000000B2	,解语花	,买断	,13600000005	,123456	,S-新华区-619新建1	,S20180619测试新增用户	,警报	,人工报警	,2018-06-20 09:30:34	,2楼大厅	,2018-06-20 09:51:29	,shlsj6	,2609-03-13 04:18:21	,保安队	,	,	,	
2018062008463185884237188610	,511用户未布防	,620单据	,2018062008491600080000010F78	,8000000B2	,解语花	,买断	,13600000005	,123456	,S-新华区-619新建1	,S20180619测试新增用户	,警报	,人工报警	,2018-06-20 08:49:16	,	,2018-06-20 08:54:17	,shlsj6	,	,派出所	,620单据	,620单据	,620单据	
2018062008454697754007188374	,211公司出警真警	,620新单据	,2018062008513900080000011191	,8000000CF	,邓清逸	,其他	,13307731001	,20180619	,D_龙岗区机主_0619_01全	,深圳市龙岗区101大道11号，地址长点，看看显示。一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九	,警报	,人工报警	,2018-06-20 08:51:39	,D_龙岗区主机_0619_01 防区位置1	,2018-06-20 08:53:00	,shlsj6	,2018-06-20 08:53:39	,处警队	,620出警单位	,620新单据	,620新单据	
2018061916391685064736086699	,214指挥中心真警	,	,2018061916460900080000001091	,800000013	,	,租赁	,	,	,S_鹿泉区机主_01	,	,警报	,人工报警	,2018-06-19 16:46:09	,防区位置	,2018-06-19 16:47:25	,shlsj5	,	,保安队	,	,	,翻页用5	
2018061916390164408586830590	,431设备原因故障	,	,2018061916453300080000000C53	,80000001C	,	,其他	,	,	,S_桥西区机主_02	,	,警报	,人工报警	,2018-06-19 16:45:33	,防区位置	,2018-06-19 16:47:10	,shlsj5	,	,保安队	,	,	,翻页用4	
2018061916384725571426886429	,311误报用户原因	,	,2018061916455500080000000694	,80000000D	,苏测试	,租赁	,15078330921	,123456	,苏_鹿泉区_机主C	,南方大厦	,警报	,人工报警	,2018-06-19 16:45:55	,位置	,2018-06-19 16:46:56	,shlsj5	,	,保安队	,	,	,翻页用3	
2018061916383744616927149290	,311误报用户原因	,	,2018061916451300080000000B83	,80000001B	,	,租赁	,	,	,S_桥西区机主_01	,	,警报	,人工报警	,2018-06-19 16:45:13	, 防区位置	,2018-06-19 16:46:46	,shlsj5	,	,保安队	,	,	,翻页用2	
2018061916381698716868184324	,311误报用户原因	,	,2018061916441900080000007175	,80000000B	,王一	,买断	,13212345678	,123	,苏_桥西区_机主B	,桂林文化宫	,警报	,人工报警	,2018-06-19 16:44:19	,防区位置	,2018-06-19 16:46:25	,shlsj5	,	,保安队	,	,	,翻页用1	
2018061916225939906971311072	,216公司及指挥中心误报	,处警单，批量处理本栏，当前2018-06-19 16:29:28，另外还有4条不勾选	,2018061916292800080000010C75	,8000000B2	,解语花	,买断	,13600000005	,123456	,S-新华区-619新建1	,S20180619测试新增用户	,警报	,人工报警	,2018-06-19 16:29:28	,三楼大厅	,2018-06-19 16:30:24	,shlsj5	,	,保安队	,还有4条不勾选	,还有4条不勾选	,216	
2018061916192253838105711803	,351误报未知原因	,批量处理勾选，16：25分2条数据	,2018061916254200080000010C12	,8000000B2	,解语花	,买断	,13600000005	,123456	,S-新华区-619新建1	,S20180619测试新增用户	,警报	,人工报警	,2018-06-19 16:25:42	,三楼大厅	,2018-06-19 16:26:54	,shlsj5	,	,保安队	,批量处理勾选，16：25分2条数据	,批量处理勾选，16：25分2条数据	,处警单批量处理勾选，16：25分2条数据	
2018061916112093100429734437	,431设备原因故障	,初始【人工录单】灰化，出单后高亮	,2018061916192100080000010C45	,8000000B2	,解语花	,买断	,13600000005	,123456	,S-新华区-619新建1	,S20180619测试新增用户	,警报	,人工报警	,2018-06-19 16:19:21	,三楼大厅	,2018-06-19 16:19:29	,shlsj5	,2609-03-13 04:18:21	,保安队	,	,	,反馈后，【人工录单】灰化	
2018061916075880486081523938	,213指挥中心出警误报	,处警单出单后，人工录单	,2018061916155700080000010C44	,8000000B2	,解语花	,买断	,13600000005	,123456	,S-新华区-619新建1	,S20180619测试新增用户	,警报	,人工报警	,2018-06-19 16:15:57	,三楼大厅	,2018-06-19 16:16:07	,shlsj5	,2018-06-19 16:17:31	,派出所	,出单→人工录单→保存	,出单→人工录单→保存	,出单→人工录单→保存	
2018061916013146316625767264	,213指挥中心出警误报	,出单前填写	,2018061916091400080000011119	,8000000CF	,邓清逸	,其他	,13307731001	,20180619	,D_龙岗区机主_0619_01全	,深圳市龙岗区101大道11号，地址长点，看看显示。一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九	,警报	,人工报警	,2018-06-19 16:09:14	,D_龙岗区主机_0619_01 防区位置1	,2018-06-19 16:09:39	,shlsj5	,2609-03-13 04:18:21	,派出所	,出单前填写	,出单前填写，第2次预处理前填写	,预处理→出单→预处理→反馈→保存，213	
2018061915554952759229699166	,121技术试机	,处警结果，已处理保存	,2018061916033300080000011118	,8000000CF	,邓清逸	,其他	,13307731001	,20180619	,D_龙岗区机主_0619_01全	,深圳市龙岗区101大道11号，地址长点，看看显示。一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九	,警报	,人工报警	,2018-06-19 16:03:33	,D_龙岗区主机_0619_01 防区位置1	,2018-06-19 16:03:57	,shlsj5	,2609-03-13 04:18:21	,联合处警	,联合处警	,处警人，已处理保存	,出单→反馈→预处理→保存 ，各字段均填写，已处理保存121	
2018061915505360081276415733	,341误报设备原因	,	,2018061915562600080000011B59	,8000000CF	,邓清逸	,其他	,13307731001	,20180619	,D_龙岗区机主_0619_01全	,深圳市龙岗区101大道11号，地址长点，看看显示。一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九	,警报	,人工报警	,2018-06-19 15:56:26	,	,2018-06-19 15:59:01	,shlsj5	,	,保安队	,	,	,	
2018061915495510565105770293	,341误报设备原因	,出单→反馈→保存	,2018061915575500080000011154	,8000000CF	,邓清逸	,其他	,13307731001	,20180619	,D_龙岗区机主_0619_01全	,深圳市龙岗区101大道11号，地址长点，看看显示。一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九	,警报	,人工报警	,2018-06-19 15:57:55	,D_龙岗区主机_0619_01 防区位置1	,2018-06-19 15:58:03	,shlsj5	,2609-03-13 04:18:21	,保安队	,	,	,出单→反馈→保存	
2018061915432622362604236198	,211公司出警真警	,	,2018061915511900080000011816	,8000000CF	,邓清逸	,其他	,13307731001	,20180619	,D_龙岗区机主_0619_01全	,深圳市龙岗区101大道11号，地址长点，看看显示。一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九	,警报	,人工报警	,2018-06-19 15:51:19	,	,2018-06-19 15:51:34	,shlsj5	,	,保安队	,	,	,	
2018061915375211701699946600	,211公司出警真警	,处警结果	,2018061911541500080000011173	,8000000CF	,邓清逸	,其他	,13307731001	,20180619	,D_龙岗区机主_0619_01全	,深圳市龙岗区101大道11号，地址长点，看看显示。一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九	,警报	,人工报警	,2018-06-19 11:54:15	,D_龙岗区主机_0619_01 防区位置1	,2018-06-19 15:46:00	,shlsj5	,2018-06-19 16:46:38	,联合处警	,联合处警	,处警人	,单条处警，直接保存，填写时间字段，211	
2018061915345446778073107237	,431设备原因故障	,单条处警，直接保存	,2018061915092300080000010C71	,8000000B2	,解语花	,买断	,13600000005	,123456	,S-新华区-619新建1	,S20180619测试新增用户	,警报	,人工报警	,2018-06-19 15:09:23	,三楼大厅	,2018-06-19 15:43:02	,shlsj5	,	,处警队	,处警队	,单条处警，直接保存	,单条处警，直接保存，不填写时间字段，431	
2018061911423142010608938480	,215公司及指挥中心真警	,处警单单条保存	,2018061911502600080000011115	,8000000CF	,邓清逸	,其他	,13307731001	,20180619	,D_龙岗区机主_0619_01全	,深圳市龙岗区101大道11号	,警报	,人工报警	,2018-06-19 11:50:26	,D_龙岗区主机_0619_01 防区位置1	,2018-06-19 11:50:39	,shlsj5	,	,保安队	,处警单单条保存	,处警单单条保存	,处警单单条保存	
2018061911384274009887460164	,215公司及指挥中心真警	,取消掉防区图报警闪烁	,2018061910462100080000010C39	,8000000B2	,解语花	,买断	,13600000005	,123456	,S-新华区-619新建1	,S20180619测试新增用户	,警报	,人工报警	,2018-06-19 10:46:21	,三楼大厅	,2018-06-19 11:46:50	,shlsj5	,2018-06-19 11:47:48	,派出所	,派出所	,处警人22	,取消掉防区图报警闪烁	
2018061911300725694487106076	,214指挥中心真警	,有反馈处警单，预处理成维修单	,2018061911380000080000011159	,8000000CF	,邓清逸	,其他	,13307731001	,20180619	,D_龙岗区机主_0619_01全	,深圳市龙岗区101大道11号	,警报	,人工报警	,2018-06-19 11:38:00	,D_龙岗区主机_0619_01 防区位置1	,2018-06-19 11:38:16	,shlsj5	,2609-03-13 04:18:21	,联合处警	,联合处警	,处警人	,有反馈处警单，预处理成维修单	
2018061911252911240449336190	,211公司出警真警	,有反馈维修单，预处理成处警单，看第2次反馈是否有声音提醒	,2018061911321100080000011126	,8000000CF	,邓清逸	,其他	,13307731001	,20180619	,D_龙岗区机主_0619_01全	,深圳市龙岗区101大道11号	,警报	,人工报警	,2018-06-19 11:32:11	,D_龙岗区主机_0619_01 防区位置1	,2018-06-19 11:33:37	,shlsj5	,2609-03-13 04:18:21	,保安队	,	,	,有反馈维修单，预处理成处警单，出单	
2018061911220182095677323443	,121技术试机	,有反馈维修单，预处理成处警单，应该显示红色	,2018061911282600080000011144	,8000000CF	,邓清逸	,其他	,13307731001	,20180619	,D_龙岗区机主_0619_01全	,深圳市龙岗区101大道11号	,警报	,人工报警	,2018-06-19 11:28:26	,D_龙岗区主机_0619_01 防区位置1	,2018-06-19 11:30:09	,shlsj5	,2609-03-13 04:18:21	,保安队	,	,	,有反馈维修单，预处理成处警单	
2018061911103042389623527063	,121技术试机	,处警单反馈已处理后，新增预处理为核警单	,2018061911182700080000011198	,8000000CF	,邓清逸	,其他	,13307731001	,20180619	,D_龙岗区机主_0619_01全	,深圳市龙岗区101大道11号	,警报	,人工报警	,2018-06-19 11:18:27	,D_龙岗区主机_0619_01 防区位置1	,2018-06-19 11:18:39	,shlsj5	,2609-03-13 04:18:21	,保安队	,	,	,处警单反馈已处理后，新增预处理为核警单	
2018061911041677098492084713	,121技术试机	,处警单出单1	,2018061911011600080000011166	,8000000CF	,邓清逸	,其他	,13307731001	,20180619	,D_龙岗区机主_0619_01全	,深圳市龙岗区101大道11号	,警报	,人工报警	,2018-06-19 11:01:16	,D_龙岗区主机_0619_01 防区位置1	,2018-06-19 11:12:24	,shlsj5	,2609-03-13 04:18:21	,保安队	,	,	,已反馈，保存，到已处理新增单据	
2018061910560919371807748346	,121技术试机	,BUG 14557回归，处警单出单	,2018061910461200080000010C54	,8000000B2	,解语花	,买断	,13600000005	,123456	,S-新华区-619新建1	,S20180619测试新增用户	,警报	,人工报警	,2018-06-19 10:46:12	,三楼大厅	,2018-06-19 11:04:17	,shlsj5	,2609-03-13 04:18:21	,保安队	,BUG 14557回归，处警单出单	,BUG 14557回归，处警单出单	,BUG 14557回归，处警单出单	
2018061910291439472983137572	,121技术试机	,	,2018061909444500080000008237	,80000000E	,	,3	,	,	,苏_栾城区_机主D	,	,警报	,人工报警	,2018-06-19 09:44:45	,防区位置	,2018-06-19 10:37:15	,shlsj5	,	,保安队	,	,	,	
2018061910280422950344580922	,121技术试机	,批量处警，BUG14697回归	,2018061910273500080000010E60	,8000000B2	,解语花	,买断	,13600000005	,123456	,S-新华区-619新建1	,S20180619测试新增用户	,警报	,人工报警	,2018-06-19 10:27:35	,2楼大厅	,2018-06-19 10:35:17	,shlsj5	,	,保安队	,	,	,BUG14697回归	
2018060810323563665433708156	,111用户试机	,	,2018060809574800080000000687	,80000000D	,苏测试	,租赁	,15078330921	,123456	,苏_鹿泉区_机主C	,南方大厦	,警报	,人工报警	,2018-06-08 09:57:48	,位置	,2018-06-08 10:31:55	,lxsc1	,	,保安队	,	,	,	
2018060810303827447434081822	,111用户试机	,	,2018060809572200080000000693	,80000000D	,苏测试	,租赁	,15078330921	,123456	,苏_鹿泉区_机主C	,南方大厦	,警报	,人工报警	,2018-06-08 09:57:22	,位置	,2018-06-08 10:30:34	,lxsc1	,	,保安队	,	,	,	
2018060809034046851375868021	,111用户试机	,	,2018060809030400080000000639	,80000000D	,苏测试	,租赁	,15078330921	,123456	,苏_鹿泉区_机主C	,南方大厦	,警报	,人工报警	,2018-06-08 09:03:04	,位置	,2018-06-08 09:03:33	,lxsc1	,	,保安队	,	,	,	
2018060809024693222275516403	,111用户试机	,	,2018060509413300080000001035	,800000013	,	,	,	,	,S_鹿泉区机主_01	,	,警报	,人工报警	,2018-06-05 09:41:33	,防区位置	,2018-06-08 09:02:41	,lxsc1	,	,保安队	,	,	,	
2018060809021881205739632039	,111用户试机	,	,2018060509455400080000000655	,80000000D	,苏测试	,租赁	,15078330921	,123456	,苏_鹿泉区_机主C	,南方大厦	,警报	,人工报警	,2018-06-05 09:45:54	,位置	,2018-06-08 09:02:18	,lxsc1	,	,保安队	,	,	,	
2018060214221380114779348782	,111用户试机	,	,2018060214293400080000001661	,800000010	,二恶	,3	,22	,222	,x城北测试	,324324	,警报	,人工报警	,2018-06-02 14:29:34	,位置1	,2018-06-02 14:29:59	,zzwsj	,	,保安队	,	,	,	
2018060214213330322946499385	,111用户试机	,	,2018060214282900080000001628	,800000010	,二恶	,3	,22	,222	,x城北测试	,324324	,故障事件	,人工故障	,2018-06-02 14:28:29	,位置1	,2018-06-02 14:29:17	,zzwsj	,	,保安队	,	,	,	
2018060213523356603387850095	,111用户试机	,处警	,2018060213592100080000001679	,800000010	,二恶	,3	,22	,222	,x城北测试	,324324	,警报	,人工报警	,2018-06-02 13:59:21	,位置1	,2018-06-02 14:00:24	,zzwsj	,	,保安队	,	,	,	
2018052817291977046094360431	,111用户试机	,	,2018052817255800080000001068	,800000013	,	,	,	,	,S_鹿泉区机主_01	,	,警报	,人工报警	,2018-05-28 17:25:58	,防区位置	,2018-05-28 17:29:25	,lxsc1	,	,保安队	,	,	,	
2018052816574916056962892750	,111用户试机	,	,2018052816412800080000001058	,800000013	,	,	,	,	,S_鹿泉区机主_01	,	,警报	,人工报警	,2018-05-28 16:41:28	,防区位置	,2018-05-28 16:57:49	,lxsc1	,	,保安队	,	,	,	
2018052816413887519534942560	,111用户试机	,	,2018052816384900080000001091	,800000013	,	,	,	,	,S_鹿泉区机主_01	,	,警报	,人工报警	,2018-05-28 16:38:49	,防区位置	,2018-05-28 16:41:38	,lxsc1	,2609-03-13 04:18:21	,保安队	,	,	,	
2018052816391825324961447229	,111用户试机	,	,2018052816183700080000001012	,800000013	,	,	,	,	,S_鹿泉区机主_01	,	,警报	,人工报警	,2018-05-28 16:18:37	,防区位置	,2018-05-28 16:39:18	,lxsc1	,2609-03-13 04:18:21	,保安队	,	,	,	
2018052816271594632349641150	,111用户试机	,	,2018052816183100080000001016	,800000013	,	,	,	,	,S_鹿泉区机主_01	,	,警报	,人工报警	,2018-05-28 16:18:31	,防区位置	,2018-05-28 16:27:15	,lxsc1	,2609-03-13 04:18:21	,保安队	,	,	,	
2018052816192569926391434446	,111用户试机	,	,2018052816183400080000001031	,800000013	,	,	,	,	,S_鹿泉区机主_01	,	,警报	,人工报警	,2018-05-28 16:18:34	,防区位置	,2018-05-28 16:19:25	,lxsc1	,	,保安队	,	,	,	
2018052715311748780314442765	,111用户试机	,	,2018052614195500080000001051	,800000013	,	,	,	,	,S_鹿泉区机主_01	,	,警报	,人工报警	,2018-05-26 14:19:55	,防区位置	,2018-05-27 15:31:17	,lxsc1	,	,保安队	,	,	,	
2018052519571615840422507188	,111用户试机	,	,201805251948090008000000C124	,8000000A3	,宁采臣	,租赁	,1320000005	,123456	,522新华区 S_机主1	,钟旺路15号钟强小区旁 新华区 文体中心	,警报	,人工报警	,2018-05-25 19:48:09	,大堂	,2018-05-25 19:57:11	,lxsc1	,	,保安队	,	,	,	
2018052519514088441711418180	,111用户试机	,	,201805251950200008000000C127	,8000000A3	,宁采臣	,租赁	,1320000005	,123456	,522新华区 S_机主1	,钟旺路15号钟强小区旁 新华区 文体中心	,警报	,人工报警	,2018-05-25 19:50:20	,大堂	,2018-05-25 19:51:35	,lxsc1	,	,保安队	,	,	,	
2018052519461718123254974282	,111用户试机	,	,201805251009360008000000C520	,8000000AA	,	,买断	,	,123456	,S关联设备测试用	,	,警报	,人工报警	,2018-05-25 10:09:36	,三楼大厅	,2018-05-25 19:45:56	,lxsc1	,	,保安队	,	,	,	
